gene_symbol,feature_id,tissue,timepoint,logFC_EE,logFC_RE,adj_p_EE,adj_p_RE,gene_set,source_sheet
ATP5PO,ENSG00000241837.7,muscle,post_24_hr,0.163838,0.057160999999999997,0.019412,0.465427,Neufer,EE_muscle_only
CHDH,ENSG00000016391.11,muscle,post_3.5_4_hr,-0.11741,-0.36398,0.359084,1.67e-5,Neufer,RE_muscle_only
GLRX2,ENSG00000023572.10,muscle,post_3.5_4_hr,-0.02701,0.24182,0.880072,0.003472,Neufer,RE_muscle_only
GCLM,ENSG00000023909.10,muscle,post_3.5_4_hr,0.095071,0.552005,0.646027,1.27e-6,Neufer,RE_muscle_only
KEAP1,ENSG00000079999.14,muscle,post_24_hr,-0.03375,-0.23978,0.736548,6.75e-7,MitoDynamics,RE_muscle_only
DNM1L,ENSG00000087470.19,muscle,post_3.5_4_hr,0.006794,0.11695,0.955684,0.031961,MitoDynamics,RE_muscle_only
DHODH,ENSG00000102967.12,muscle,post_3.5_4_hr,0.030565,-0.21575,0.824224,0.002151,Neufer,RE_muscle_only
NRF1,ENSG00000106459.15,muscle,post_24_hr,0.157671,0.323778,0.076544,1.3e-6,MitoDynamics,RE_muscle_only
SOD2,ENSG00000112096.19,muscle,post_3.5_4_hr,0.051235,0.26383,0.763406,0.003244,Neufer,RE_muscle_only
HSPA9,ENSG00000113013.16,muscle,post_3.5_4_hr,0.059076,0.191817,0.456028,1.14e-4,MitoDynamics,RE_muscle_only
GPD2,ENSG00000115159.16,muscle,post_24_hr,-0.23192,-0.72079,0.194459,5.28e-9,Neufer,RE_muscle_only
HSPE1,ENSG00000115541.11,muscle,post_24_hr,0.175929,0.384358,0.098494,1.01e-6,MitoDynamics,RE_muscle_only
NFE2L2,ENSG00000116044.16,muscle,post_3.5_4_hr,0.032223,0.296113,0.827522,3.44e-5,MitoDynamics,RE_muscle_only
SLC16A7,ENSG00000118596.12,muscle,post_24_hr,-0.0073,-0.80478,0.991486,9.07e-4,MitoDynamics,RE_muscle_only
SOD1,ENSG00000142168.15,muscle,post_3.5_4_hr,0.019992,0.117211,0.818278,0.007708,Neufer,RE_muscle_only
PPARGC1B,ENSG00000155846.17,muscle,post_3.5_4_hr,0.303975,-0.66901,0.16751,4.15e-5,MitoDynamics,RE_muscle_only
MCU,ENSG00000156026.15,muscle,post_3.5_4_hr,0.017267,0.21391,0.928536,0.012697,MitoDynamics,RE_muscle_only
SQSTM1,ENSG00000161011.20,muscle,post_3.5_4_hr,0.135874,0.343975,0.119907,9.53e-8,MitoDynamics,RE_muscle_only
PRKAA2,ENSG00000162409.12,muscle,post_24_hr,-0.08227,0.276174,0.603353,0.001742,MitoDynamics,RE_muscle_only
GPD1,ENSG00000167588.13,muscle,post_24_hr,0.025278,-0.32081,0.9307,0.004074,Neufer,RE_muscle_only
CYCS,ENSG00000172115.9,muscle,post_3.5_4_hr,0.064283,0.210888,0.604837,0.003816,Neufer,RE_muscle_only
UCP3,ENSG00000175564.13,muscle,post_24_hr,0.063069,-0.54124,0.886555,0.003401,Neufer,RE_muscle_only
PDK2,ENSG00000005882.12,muscle,post_24_hr,0.218742831693935,-0.201136371548905,NA,NA,MitoDynamics,EE_RE_opposite
