canonical,metab_group,tissue,sex,comparison_group,logFC,adj_p_value,p_value,n_platform_entries,sex_label,sig_dot
Citrate+Isocitrate,TCA cycle,LUNG,female,1w,-0.0927172144849697,1,0.342947128274273,1,Female,
Citrate+Isocitrate,TCA cycle,LUNG,female,2w,-0.0804748223146468,1,0.409240296519068,1,Female,
Citrate+Isocitrate,TCA cycle,LUNG,female,4w,-0.26036095056156,1,0.0124474006701792,1,Female,
Citrate+Isocitrate,TCA cycle,LUNG,female,8w,-0.246981508421733,1,0.017005281795837,1,Female,
Citrate+Isocitrate,TCA cycle,LUNG,male,1w,-0.16055655019679901,1,0.0761383999044365,1,Male,
Citrate+Isocitrate,TCA cycle,LUNG,male,2w,-0.125506681830911,1,0.159828314325707,1,Male,
Citrate+Isocitrate,TCA cycle,LUNG,male,4w,-0.00203425276574176,1,0.981399556543045,1,Male,
Citrate+Isocitrate,TCA cycle,LUNG,male,8w,-0.255451696060461,1,0.00721409633898286,1,Male,
Citrate+Isocitrate,TCA cycle,NA,female,1w,-0.518479228560956,1,0.0617977750910438,1,Female,
Citrate+Isocitrate,TCA cycle,NA,female,2w,-0.108977813346593,1,0.682966010191187,1,Female,
Citrate+Isocitrate,TCA cycle,NA,female,4w,0.157453503676182,1,0.555965560738555,1,Female,
Citrate+Isocitrate,TCA cycle,NA,female,8w,0.0773523908999165,1,0.771680588776301,1,Female,
Citrate+Isocitrate,TCA cycle,NA,male,1w,-0.174334343022755,1,0.589869605683249,1,Male,
Citrate+Isocitrate,TCA cycle,NA,male,2w,-0.00383423502596769,1,0.990508807170406,1,Male,
Citrate+Isocitrate,TCA cycle,NA,male,4w,-0.335443961275002,1,0.304041866182241,1,Male,
Citrate+Isocitrate,TCA cycle,NA,male,8w,-0.116504070495324,1,0.733616742660013,1,Male,
Citrate+Isocitrate,TCA cycle,SKM-GN,female,1w,-0.154973965419621,1,0.261907839396831,1,Female,
Citrate+Isocitrate,TCA cycle,SKM-GN,female,2w,-0.11743491417837,1,0.392452607119935,1,Female,
Citrate+Isocitrate,TCA cycle,SKM-GN,female,4w,-0.105741974617375,1,0.440585446426623,1,Female,
Citrate+Isocitrate,TCA cycle,SKM-GN,female,8w,-0.020859836167233,1,0.878312483038395,1,Female,
Citrate+Isocitrate,TCA cycle,SKM-GN,male,1w,-0.0503944242210927,1,0.757058444908832,1,Male,
Citrate+Isocitrate,TCA cycle,SKM-GN,male,2w,0.100394161547177,1,0.53897261808806,1,Male,
Citrate+Isocitrate,TCA cycle,SKM-GN,male,4w,0.147730804775809,1,0.368247672551812,1,Male,
Citrate+Isocitrate,TCA cycle,SKM-GN,male,8w,0.329984292614402,1,0.0518466898449745,1,Male,
Citrate+Isocitrate,TCA cycle,WAT-SC,female,1w,-0.218888393321835,1,0.383610600459818,1,Female,
Citrate+Isocitrate,TCA cycle,WAT-SC,female,2w,0.123275322971838,1,0.621784059052182,1,Female,
Citrate+Isocitrate,TCA cycle,WAT-SC,female,4w,-0.0277793076571253,1,0.911272267154387,1,Female,
Citrate+Isocitrate,TCA cycle,WAT-SC,female,8w,0.0529330693697248,1,0.831901163614248,1,Female,
Citrate+Isocitrate,TCA cycle,WAT-SC,male,1w,0.0829307716910728,1,0.731279465597476,1,Male,
Citrate+Isocitrate,TCA cycle,WAT-SC,male,2w,0.207006515487548,1,0.394500599754034,1,Male,
