sex,tissue,ets_mean,buf_mean,ets_se,buf_se,fitted,residual,std_resid,cooks_d,leverage,cook_thresh,influential
Female,BAT,-0.20950098673360956,-0.09877560652791573,0.020215254041113656,0.05084470085604781,-0.008866346933986857,-0.08990925959392887,-2.193181944003274,0.3645210737610466,0.13161769433681528,0.2222222222222222,TRUE
Female,BLOOD,0.1344220984039329,0.05526265094050683,0.02970402528849228,0.08234308301834468,0.04263153157971779,0.012631119360789039,0.29848447688984286,0.0035952591902522835,0.07468069068505487,0.2222222222222222,FALSE
Female,COLON,0.18053211090518517,0.0743272302584498,0.008650922577310592,0.021953813226671438,0.04953588875918788,0.024791341499261918,0.5917665167270869,0.017978532712169284,0.09311811785334456,0.2222222222222222,FALSE
Female,CORTEX,0.013571470310554867,-0.0027823989968261214,0.007491859099641057,0.014697677116132245,0.024535767634797527,-0.027318166631623647,-0.6390002435720828,0.012021355612415126,0.055607566710233244,0.2222222222222222,FALSE
Female,HEART,0.02753302776059824,0.028364577540871436,0.010361493792985373,0.02498923450577764,0.026626323984444433,0.0017382535564270047,0.0406604165480759,4.871095440224441e-5,0.05564767712287861,0.2222222222222222,FALSE
Female,HIPPOC,-0.008501268771826807,-0.022268307693545437,0.009354296770054988,0.00991420525340137,0.02123067040564642,-0.04349897809919186,-1.0180736750836736,0.031148606355648464,0.05669716456236462,0.2222222222222222,FALSE
Female,HYPOTH,0.016588272344162783,0.03275955408197278,0.011075952028766399,0.015314383698629678,0.02498749335877592,0.007772060723196857,0.18179278645689584,9.722555354296004e-4,0.05556836917741809,0.2222222222222222,FALSE
Female,KIDNEY,4.4838286807203303e-4,0.012069852341886577,0.007616898590838264,0.024045757577352386,0.02257076094567856,-0.010500908603791983,-0.24568926731890497,0.0017933174682073477,0.05608511794242056,0.2222222222222222,FALSE
Female,LIVER,0.009718938815734098,-0.0018300984285714306,0.007336719714827176,0.034394215921638965,0.02395890261042396,-0.02578900103899539,-0.6032597159546315,0.010732248556015914,0.05569598677028489,0.2222222222222222,FALSE
Female,LUNG,0.026874443534930695,0.007373045867065849,0.007888231981957377,0.011562281224018502,0.02652770981194448,-0.019154663944878633,-0.44805350436638897,0.0059131941323726485,0.05563308455241399,0.2222222222222222,FALSE
Female,OVARY,0.002857041702664662,0.017312240981255014,0.015317935069370455,0.02381366945784825,0.022931425365734007,-0.005619184384478994,-0.13146308540756024,5.122304680718762e-4,0.05596005493400937,0.2222222222222222,FALSE
Female,SKM-GN,0.17364654877429744,0.009182243284189867,0.010475792124001338,0.03332294130653746,0.04850486799484106,-0.03932262471065119,-0.9370034003039359,0.04340223854222171,0.08997335210775961,0.2222222222222222,FALSE
Female,SKM-VL,0.2502590485592599,0.06462566786873084,0.01379654565145376,0.056476102372126975,0.05997656436258961,0.004649103506141225,0.1134781327997287,9.85200936652585e-4,0.13270765167931023,0.2222222222222222,FALSE
Female,SMLINT,-0.0040206207703762376,-0.009801120402394324,0.005235673216965723,0.021801000640828225,0.021901587469411114,-0.03170270787180544,-0.741855474596666,0.016435664454900824,0.05636171538028749,0.2222222222222222,FALSE
Female,SPLEEN,0.07246021958300773,0.1171593106886348,0.011305086797798734,0.0334143818537813,0.033353569599571045,0.08380574108906376,1.9644725889297483,0.12231766519471747,0.05961207970814258,0.2222222222222222,FALSE
Female,VENACV,0.12932795668995295,0.10232424906770735,0.01169568144182658,0.020441212510184915,0.041868752044249204,0.06045549702345814,1.4273378396672252,0.08024299639700432,0.07302188745528991,0.2222222222222222,FALSE
Female,WAT-SC,0.20243806001812684,0.08950676376487608,0.017494361645036687,0.05443164252016087,0.05281601142293552,0.03669075234194056,0.8811246870364551,0.04507583373793074,0.10403727476563948,0.2222222222222222,FALSE
