ets_gene,buf_gene,r,r_with_bat,delta_r
Ndufa9,Sod1,0.8622246133455055,0.9442012757555932,-0.08197666241008772
Ndufb8,Glrx2,0.8615648456209717,0.9090764904390488,-0.047511644818077126
Uqcrb,Sod1,0.8595525096928331,0.9431482009033988,-0.08359569121056565
Cox5b,Prdx3,0.858731702666517,0.9207865441532402,-0.062054841486723245
Cox5b,Sod1,0.8580415804418564,0.937709398342116,-0.07966781790025956
Uqcrc1,Gclm,0.8562355266996291,0.6571789025050261,0.19905662419460302
Cox5b,Gclm,0.8550642622373766,0.757715068144388,0.09734919409298859
Uqcrb,Glrx2,0.8536810965899739,0.8855347493953118,-0.03185365280533792
Cox4i1,Glrx2,0.8530111793467193,0.9025629708124238,-0.04955179146570443
Ndufa9,Txn2,0.8521210554529217,0.8681933918787349,-0.016072336425813183
Atp5f1d,Txn2,0.848932858458796,0.8552502582568454,-0.006317399798049461
Ndufb8,Sod1,0.8485280688928255,0.920360773207378,-0.07183270431455246
Cox5a,Gclm,0.8473405155844362,0.7701315349953787,0.07720898058905756
Uqcrc1,Sod1,0.8432497156205968,0.9339527572096776,-0.09070304158908082
Uqcrc1,Prdx3,0.8429215383846433,0.8871300654601063,-0.04420852707546297
Atp5f1b,Txnrd2,0.8415026819268685,0.8966693326289475,-0.055166650702079045
Cox7a2,Glrx2,0.8395448950295027,0.8730925803020604,-0.03354768527255769
Ndufa9,Gpx4,0.8369445138284823,0.8774446844647089,-0.04050017063622657
Cox5a,Prdx3,0.8359978074424936,0.9096296420603291,-0.07363183461783551
Uqcrfs1,Gpx4,0.8349978882130252,0.8625086979080866,-0.027510809695061367
Ndufb8,Txnrd2,0.8345708047964524,0.9091053091570714,-0.07453450436061904
Uqcrfs1,Txnrd2,0.8342138975576778,0.8903584117214661,-0.056144514163788295
Uqcrfs1,Glrx2,0.834079592406605,0.8453411063684062,-0.011261513961801195
Atp5pb,Txnrd2,0.8312066339949983,0.9065145931909088,-0.07530795919591049
Cox6b1,Txnrd2,0.8305442123155405,0.9094325356303836,-0.07888832331484308
Cox7a2,Gclm,0.8300836902741926,0.6981505592321015,0.13193313104209115
Ndufa9,Gclm,0.8299010717504918,0.6777347256933122,0.1521663460571796
Cox5b,Txnrd2,0.8294264602370394,0.908984053212145,-0.07955759297510567
Cyc1,Txn2,0.8266211189143972,0.8205745211555284,0.0060465977588687325
Atp5f1d,Gpx4,0.8265126619472549,0.8635060184670544,-0.036993356519799514
Cox6a1,Sod1,0.8264194955575667,0.8999954781563478,-0.07357598259878118
Atp5po,Txnrd2,0.8237424763939869,0.9041261193382208,-0.08038364294423395
Atp5pb,Sod1,0.8215785107326661,0.9054801687332404,-0.08390165800057436
Uqcrb,Prdx3,0.8213143840387215,0.8979932134495493,-0.07667882941082782
Atp5po,Glrx2,0.8211101353641692,0.884347610149877,-0.06323747478570774
Cox7a2,Sod1,0.8209215091569967,0.9288318089716546,-0.10791029981465794
Cox6a1,Sod2,0.8158400039141002,0.8963478630704009,-0.08050785915630077
Cox5b,Glrx2,0.8149313024404802,0.8754879303414216,-0.06055662790094141
Cox4i1,Sod1,0.8146419561391428,0.8722710580965405,-0.05762910195739768
Cox6b1,Sod2,0.8133441950006158,0.911999628079559,-0.0986554330789432
Cyc1,Prdx3,0.8127738763648188,0.8617965359099228,-0.049022659545103986
Atp5po,Sod1,0.8124225167473149,0.9060178825567607,-0.09359536580944583
Ndufa9,Prdx3,0.8121808493094662,0.8860832530472244,-0.07390240373775814
Cox6a1,Glrx2,0.8082190042744477,0.8771027615371462,-0.06888375726269846
Cox6b1,Sod1,0.8054620570755856,0.910312477486382,-0.1048504204107964
Atp5f1b,Sod2,0.8052813165630162,0.869158552610139,-0.06387723604712281
Cox4i1,Txnrd2,0.8049305749824828,0.8758167393568128,-0.07088616437433004
Uqcrfs1,Prdx3,0.803746800003671,0.8725755215690447,-0.06882872156537367
Cox6a1,Gpx1,0.7976169882259829,0.5327622873767812,0.2648547008492017
Uqcrfs1,Gclm,0.7976167279115791,0.6299537206479839,0.16766300726359518
Cox7a2,Txnrd2,0.7969863763771888,0.8891016522128005,-0.09211527583561163
