ets_gene,buf_gene,r
Ndufs1,Prdx5,0.6615623580626511
Cycs,Gclm,0.6595784329479919
Uqcrc1,Gclm,0.6571789025050261
Ndufs1,Sod1,0.656679336379242
Cox5b,Gsr,0.6533785148455399
Ndufs2,Prdx5,0.6527296591442157
Atp5f1a,Gsr,0.650941831749184
Ndufs8,Prdx3,0.6463503446664205
Cox7a2,Gsr,0.6448975394889667
Ndufs8,Txnrd2,0.6417827427680728
Ndufv1,Sod2,0.640504826921365
Ndufs3,Prdx5,0.6394508391059429
Atp5f1c,Gsr,0.6383991245410169
Atp5f1c,Sod2,0.6363646456935131
Ndufs7,Gss,0.6350523826872703
Cycs,Prdx5,0.6345428636491204
Uqcrfs1,Gclm,0.6299537206479839
Ndufs1,Sod2,0.6247354332571916
Ndufv1,Gsr,0.6235816536655915
Atp5f1d,Gsr,0.6180455775689461
Ndufs1,Gsr,0.6169269142613703
Ndufs8,Gpx4,0.614431831437153
Atp5f1d,Gclm,0.614205074429811
Atp5f1a,Prdx3,0.6130566310246768
Atp5f1a,Txnrd2,0.6112267818317945
Cox6b1,Gsr,0.6092370047472346
Atp5pb,Gsr,0.6073377444663834
Ndufb8,Gsr,0.6069714826735837
Cox6a1,Gsr,0.6037968246697833
Ndufs3,Sod1,0.5967931523588675
Atp5po,Gsr,0.5934352176636595
Cox7a2,Gss,0.5891818781494365
Ndufs3,Gsr,0.58846631615337
Ndufs8,Txn2,0.580494935320319
Ndufv1,Txnrd2,0.5804923546227218
Cyc1,Gclm,0.5799284887138861
Ndufs8,Glrx2,0.577707581454969
Cox5a,Gss,0.5725248663082654
Atp5f1b,Gsr,0.5713611397620922
Cox4i1,Gsr,0.5709596564627378
Ndufs8,Gsr,0.5707400257962318
Atp5f1a,Gpx4,0.5673777154153761
Ndufs2,Gsr,0.5671553978294921
Cyc1,Gss,0.5634522656548363
Cox6a1,Gss,0.561994506066541
Cox4i1,Gpx1,0.5602906361916532
Uqcrc1,Gss,0.5558096411612493
Ndufv2,Gss,0.5527400449593928
Atp5f1a,Glrx2,0.5491936318220318
Uqcrb,Gss,0.5435278323311651
Atp5f1e,Sod1,0.5410783364194723
Atp5po,Gss,0.5404368303167506
Atp5f1a,Txn2,0.5404223779817636
Ndufs2,Txnrd2,0.5400777695228977
Atp5f1c,Txnrd2,0.5399689366790146
Cox4i1,Gss,0.5396549573436884
Ndufa9,Gss,0.5386756581338249
Ndufs2,Prdx3,0.5357996430839986
Cox6a1,Gpx1,0.5327622873767812
Cox5b,Gss,0.5310939308187886
Atp5f1c,Prdx3,0.5278531690176597
Ndufv2,Gclm,0.5278188094609014
Uqcrfs1,Gss,0.5264070099375
Atp5f1d,Gss,0.5237226202447931
Ndufv1,Prdx3,0.5190026181802265
Cox6b1,Gss,0.5183556791234138
Cycs,Gsr,0.5174870680527895
Atp5f1e,Prdx5,0.5165075171134154
Ndufa10,Gss,0.5153175904146025
Uqcrc2,Prdx5,0.5142707990791113
Atp5pb,Gss,0.5113161658424188
Atp5f1b,Gpx1,0.5006806485416513
Ndufb8,Gss,0.4976077107479741
Ndufs1,Txnrd2,0.49628447081482496
Ndufs1,Prdx3,0.4949725601216455
Ndufs8,Gss,0.49269358788205025
Atp5pb,Gpx1,0.4920973533599195
Ndufv1,Glrx2,0.4908240124617821
Ndufv1,Gpx4,0.48674682367955385
Ndufs2,Gpx4,0.48668337304185577
Ndufb8,Gpx1,0.48600415067641695
Atp5f1c,Gss,0.48546341102223234
Ndufs2,Glrx2,0.4835476651022036
Ndufs3,Sod2,0.48157407614212994
Atp5f1a,Gss,0.48098658121733884
Atp5f1c,Glrx2,0.47814133588729846
Atp5mc2,Gss,0.47781566186349633
Ndufs7,Gclm,0.47737727741504454
Uqcrc2,Sod1,0.4718798063871258
Ndufv1,Txn2,0.46898335105046185
Atp5f1c,Txn2,0.4662574633211152
Atp5f1c,Gpx4,0.4631390460858087
Ndufs1,Glrx2,0.46254211989747895
Atp5po,Gpx1,0.4613159552108005
Uqcrc2,Gsr,0.45720443328295185
Atp5f1e,Gsr,0.45387263713069814
Ndufs2,Txn2,0.4484176550641788
Uqcrc2,Sod2,0.44255506186562854
Atp5f1e,Sod2,0.44252645134329005
Cox6b1,Gpx1,0.44183400971645503
Ndufv1,Gss,0.43349932091937354
Atp5f1b,Gss,0.4325450349453494
Cox5a,Gpx1,0.42789698549067007
Cycs,Gpx1,0.4244370726409093
Ndufa10,Gclm,0.4236625418448118
Atp5mc2,Gsr,0.42190338644176356
Ndufs1,Gpx4,0.42147186917975765
Atp5mc1,Gpx1,0.4147678821030668
Ndufs3,Txnrd2,0.41257872194839024
Ndufs3,Gss,0.4101027180307674
Cox5b,Gpx1,0.40839723902266833
Ndufs1,Txn2,0.4026058833284101
Atp5mc2,Sod1,0.4013856953622698
Ndufs2,Gss,0.39017424032025577
Atp5mc1,Gclc,0.38417678803260613
Uqcrb,Gpx1,0.37484170534721295
Cox7a2,Gpx1,0.37237220759711903
Atp5mc2,Prdx5,0.365389628292414
Atp5f1e,Txnrd2,0.3592281128647299
Ndufs1,Gss,0.34908558272113616
Atp5f1e,Gss,0.3476450507050791
Uqcrc2,Gss,0.33152413201332076
Ndufs3,Prdx3,0.3225239423188258
